ticket_type,subject,text,domain,issue_severity,issue_urgency,safety_concern,business_impact
complaint,Conference Room Booking Error,I've encountered multiple booking errors while trying to reserve Conference Room B on Monday mornings; despite having confirmed availability through both online systems and direct calls.,conference room and meeting space management,,,,
complaint,Broken Elevator,"This is absolutely unacceptable! Our elevator has broken down again just as I have back-to-back meetings scheduled on different floors today. This isn't my second time reporting such poor maintenance here at Building X. I'm expecting immediate action; otherwise, I'll escalate this matter beyond these walls!",office building management and facilities,,,,
complaint,Printer Paper Jam,Hey there! My printer just won't stop jamming on paper every time I try to print my reports at work today. It's super annoying because I've got deadlines coming up fast. Can someone help me fix this? Thanks!,IT and office technology support,,,,
complaint,Delayed Parcel Delivery,"Dear Support Team, I'm reaching out because my parcel delivery has significantly exceeded its expected arrival date without prior notification. This delay is causing inconvenience as I urgently require items contained within said package. Could someone please assist me? Your prompt attention would greatly alleviate concerns regarding future deliveries.",mail and courier services,,,,
complaint,Inadequate Office Lighting,This is unacceptable! My new workspace has terrible lighting; I can't even read my emails properly!,office fit-out and renovation,,,,
complaint,Unrecognized Visitor Detected,Last evening I noticed someone unfamiliar entering my building without proper identification; I'm concerned as there have already been several such incidents.,office security and visitor management,,,,
complaint,Blocked Office Parking,My car is stuck outside my building every weekday! This new gate policy has made me late all month!,office parking and access control,,,,
complaint,Broken Elevator,"This is absolutely unacceptable! Our elevator has broken down again just as I have back-to-back meetings scheduled on different floors today. This isn't my second time reporting such poor maintenance here at Building X. I'm expecting immediate action; otherwise, I'll escalate this matter beyond these walls!",office building management and facilities,,,,
complaint,Printer Connectivity Issue,My laptop can't connect to the shared printer anymore; I've tried troubleshooting steps already.,IT and office technology support,,,,
complaint,Printer connectivity failure,My printer just stopped working today; I can't seem to connect anything anymore.,IT and office technology support,,,,
complaint,Lost Luggage,My suitcase is missing since I checked into my hotel last night! I've already called multiple times but nobody has responded yet. This situation needs immediate attention as I'm running out of clothes!,reception and front desk services,,,,
