ticket_type,is_recurring,business_impact_val,safety_concern,sentiment_score,issue_severity_val,issue_urgency_val,label_priority,label_source,created_at
complaint,False,low,False,negative,low,low,high,fuzzy_synthetic,2026-03-04T13:39:15.147299+00:00
complaint,False,low,False,negative,low,medium,critical,fuzzy_synthetic,2026-03-04T13:39:15.149457+00:00
complaint,False,low,False,negative,low,high,critical,fuzzy_synthetic,2026-03-04T13:39:15.151848+00:00
complaint,False,low,False,negative,medium,low,critical,fuzzy_synthetic,2026-03-04T13:39:15.153884+00:00
complaint,False,low,False,negative,medium,medium,critical,fuzzy_synthetic,2026-03-04T13:39:15.155908+00:00
complaint,False,low,False,negative,medium,high,critical,fuzzy_synthetic,2026-03-04T13:39:15.158018+00:00
complaint,False,low,False,negative,high,low,critical,fuzzy_synthetic,2026-03-04T13:39:15.160022+00:00
complaint,False,low,False,negative,high,medium,critical,fuzzy_synthetic,2026-03-04T13:39:15.162281+00:00
complaint,False,low,False,negative,high,high,critical,fuzzy_synthetic,2026-03-04T13:39:15.164256+00:00
complaint,False,low,False,neutral,low,low,low,fuzzy_synthetic,2026-03-04T13:39:15.166320+00:00
complaint,False,low,False,neutral,low,medium,medium,fuzzy_synthetic,2026-03-04T13:39:15.168324+00:00
complaint,False,low,False,neutral,low,high,medium,fuzzy_synthetic,2026-03-04T13:39:15.170343+00:00
complaint,False,low,False,neutral,medium,low,medium,fuzzy_synthetic,2026-03-04T13:39:15.172615+00:00
complaint,False,low,False,neutral,medium,medium,medium,fuzzy_synthetic,2026-03-04T13:39:15.174614+00:00
complaint,False,low,False,neutral,medium,high,high,fuzzy_synthetic,2026-03-04T13:39:15.176661+00:00
complaint,False,low,False,neutral,high,low,medium,fuzzy_synthetic,2026-03-04T13:39:15.178627+00:00
complaint,False,low,False,neutral,high,medium,high,fuzzy_synthetic,2026-03-04T13:39:15.180905+00:00
complaint,False,low,False,neutral,high,high,high,fuzzy_synthetic,2026-03-04T13:39:15.182861+00:00
complaint,False,low,False,positive,low,low,low,fuzzy_synthetic,2026-03-04T13:39:15.184837+00:00
complaint,False,low,False,positive,low,medium,low,fuzzy_synthetic,2026-03-04T13:39:15.186902+00:00
complaint,False,low,False,positive,low,high,low,fuzzy_synthetic,2026-03-04T13:39:15.189037+00:00
complaint,False,low,False,positive,medium,low,low,fuzzy_synthetic,2026-03-04T13:39:15.191384+00:00
complaint,False,low,False,positive,medium,medium,low,fuzzy_synthetic,2026-03-04T13:39:15.193413+00:00
complaint,False,low,False,positive,medium,high,low,fuzzy_synthetic,2026-03-04T13:39:15.195518+00:00
complaint,False,low,False,positive,high,low,low,fuzzy_synthetic,2026-03-04T13:39:15.197517+00:00
complaint,False,low,False,positive,high,medium,low,fuzzy_synthetic,2026-03-04T13:39:15.199520+00:00
complaint,False,low,False,positive,high,high,low,fuzzy_synthetic,2026-03-04T13:39:15.201805+00:00
complaint,False,low,True,negative,low,low,high,fuzzy_synthetic,2026-03-04T13:39:15.203778+00:00
complaint,False,low,True,negative,low,medium,critical,fuzzy_synthetic,2026-03-04T13:39:15.205866+00:00
complaint,False,low,True,negative,low,high,critical,fuzzy_synthetic,2026-03-04T13:39:15.207876+00:00
complaint,False,low,True,negative,medium,low,critical,fuzzy_synthetic,2026-03-04T13:39:15.209971+00:00
complaint,False,low,True,negative,medium,medium,critical,fuzzy_synthetic,2026-03-04T13:39:15.212180+00:00
complaint,False,low,True,negative,medium,high,critical,fuzzy_synthetic,2026-03-04T13:39:15.214152+00:00
complaint,False,low,True,negative,high,low,critical,fuzzy_synthetic,2026-03-04T13:39:15.216218+00:00
complaint,False,low,True,negative,high,medium,critical,fuzzy_synthetic,2026-03-04T13:39:15.218188+00:00
complaint,False,low,True,negative,high,high,critical,fuzzy_synthetic,2026-03-04T13:39:15.220262+00:00
complaint,False,low,True,neutral,low,low,high,fuzzy_synthetic,2026-03-04T13:39:15.222431+00:00
complaint,False,low,True,neutral,low,medium,high,fuzzy_synthetic,2026-03-04T13:39:15.224489+00:00
complaint,False,low,True,neutral,low,high,high,fuzzy_synthetic,2026-03-04T13:39:15.226465+00:00
complaint,False,low,True,neutral,medium,low,high,fuzzy_synthetic,2026-03-04T13:39:15.228441+00:00
complaint,False,low,True,neutral,medium,medium,high,fuzzy_synthetic,2026-03-04T13:39:15.230541+00:00
complaint,False,low,True,neutral,medium,high,high,fuzzy_synthetic,2026-03-04T13:39:15.232709+00:00
complaint,False,low,True,neutral,high,low,high,fuzzy_synthetic,2026-03-04T13:39:15.234761+00:00
complaint,False,low,True,neutral,high,medium,high,fuzzy_synthetic,2026-03-04T13:39:15.236714+00:00
complaint,False,low,True,neutral,high,high,high,fuzzy_synthetic,2026-03-04T13:39:15.238761+00:00
complaint,False,low,True,positive,low,low,high,fuzzy_synthetic,2026-03-04T13:39:15.240739+00:00
complaint,False,low,True,positive,low,medium,high,fuzzy_synthetic,2026-03-04T13:39:15.242887+00:00
complaint,False,low,True,positive,low,high,high,fuzzy_synthetic,2026-03-04T13:39:15.244919+00:00
complaint,False,low,True,positive,medium,low,high,fuzzy_synthetic,2026-03-04T13:39:15.246885+00:00
complaint,False,low,True,positive,medium,medium,high,fuzzy_synthetic,2026-03-04T13:39:15.248942+00:00
complaint,False,low,True,positive,medium,high,high,fuzzy_synthetic,2026-03-04T13:39:15.250905+00:00
complaint,False,low,True,positive,high,low,high,fuzzy_synthetic,2026-03-04T13:39:15.253172+00:00
complaint,False,low,True,positive,high,medium,high,fuzzy_synthetic,2026-03-04T13:39:15.255162+00:00
complaint,False,low,True,positive,high,high,high,fuzzy_synthetic,2026-03-04T13:39:15.257134+00:00
