call_id,call_category,asset_type,location,transcript,frequency,user_text,tenant_tier,issue,business_impact,safety_concern
IP-REAL-00006,complaint,Warehouse,Zone B – SME Offices,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing water leakage in the unit.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Zone B – SME Offices.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing water leakage in the unit.
our unit is located in zone b – sme offices.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Premium,we are facing water leakage in the unit.,low,False
IP-REAL-00007,complaint,Warehouse,Logistics Cluster North,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing security incident near the loading bay.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Logistics Cluster North.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing security incident near the loading bay.
our unit is located in logistics cluster north.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Standard,we are facing security incident near the loading bay.,high,True
IP-REAL-00009,complaint,Warehouse,Tech Block,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing cleaning services not done as scheduled.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Tech Block.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing cleaning services not done as scheduled.
our unit is located in tech block.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Standard,we are facing cleaning services not done as scheduled.,low,False
IP-REAL-00012,complaint,Office,Logistics Cluster North,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing parking gate malfunction.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Logistics Cluster North.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing parking gate malfunction.
our unit is located in logistics cluster north.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Standard,we are facing parking gate malfunction.,medium,False
IP-REAL-00016,complaint,Office,Logistics Cluster South,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing power outage in common area.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Logistics Cluster South.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing power outage in common area.
our unit is located in logistics cluster south.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Premium,we are facing power outage in common area.,high,True
IP-REAL-00019,complaint,Office,Community Retail Strip,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing noise disturbance from nearby unit.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Community Retail Strip.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing noise disturbance from nearby unit.
our unit is located in community retail strip.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Standard,we are facing noise disturbance from nearby unit.,low,False
IP-REAL-00031,complaint,Office,Zone B – SME Offices,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing lost item reported at reception.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Zone B – SME Offices.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing lost item reported at reception.
our unit is located in zone b – sme offices.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Standard,we are facing lost item reported at reception.,low,False
IP-REAL-00041,complaint,Warehouse,Community Retail Strip,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing air conditioning not working properly.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Community Retail Strip.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing air conditioning not working properly.
our unit is located in community retail strip.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Standard,we are facing air conditioning not working properly.,medium,False
IP-REAL-00074,complaint,Office,Community Retail Strip,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling regarding an unresolved issue.
Tenant: We are facing access card stopped working.
Agent: I'm sorry for the inconvenience. May I have your unit details?
Tenant: Our unit is located in Community Retail Strip.
Agent: Thank you. Let me check the service ticket.
Tenant: This was reported earlier but hasn't been resolved.
Agent: I see the ticket is still open.
Tenant: This is affecting our daily operations.
Agent: I will escalate this to the maintenance team immediately.
Tenant: Please do.
Agent: I will update you shortly.",7,"hi, i'm calling regarding an unresolved issue.
we are facing access card stopped working.
our unit is located in community retail strip.
this was reported earlier but hasn't been resolved.
this is affecting our daily operations.
please do.",Standard,we are facing access card stopped working.,low,False
IP-REAL-00001,inquiry,Retail Store,Logistics Cluster North,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I'm calling to enquire about available space.
Agent: Sure. Are you looking for office, warehouse, or retail space?
Caller: We are looking for a retail store.
Agent: Do you have a preferred location within the park?
Caller: Preferably Logistics Cluster North.
Agent: May I know the approximate size requirement?
Caller: Around 10000 square feet.
Agent: What is the rental rate per square foot?
Caller: That should work. Please send the details.
Agent: I will email the layout, pricing, and availability.
Caller: Thank you.",1,"hello, i'm calling to enquire about available space.
we are looking for a retail store.
preferably logistics cluster north.
around 10000 square feet.
that should work. please send the details.
thank you.",Prospective,,,
