ticket_id,ticket_type,ticket_details,issue_category,business_impact,safety_concern
cx01819,Complaint,"During our regular operations, we identified that the staff conduct issue persists within our premises. We are currently unable to continue normal business activities. We look forward to your support in resolving this.",staff conduct issue,high,False
cx00522,Complaint,"Recently, our team noticed that the access control malfunction persists within our premises. The issue seems more noticeable during peak hours. As a result, our operations have come to a halt. We would appreciate your assistance in resolving this matter.",access control malfunction,high,True
cx00693,Complaint,"We are writing to bring this to your attention. For some time now, it has become apparent that the water leakage persists within our premises. The impact has been manageable so far. We look forward to your support in resolving this.",water leakage,low,False
cx02259,Complaint,"We are writing to bring this to your attention. During our regular operations, we identified that the billing discrepancy persists within our premises. The condition has not resolved despite initial adjustments. The disruption remains limited at this stage. We look forward to your support in resolving this.",billing discrepancy,low,False
cx00011,Complaint,"We hope you are doing well. During our regular operations, we identified that the loading dock obstruction persists within our premises. Operational efficiency has been noticeably impacted. We look forward to your support in resolving this.",loading dock obstruction,medium,False
cx04408,Inquiry,"Hello, We would like clarification regarding inspection timeline. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",inspection timeline,,
cx04045,Inquiry,We are writing to bring this to your attention. We would like clarification regarding visitor pass issuance. Kindly advise us on the appropriate steps moving forward.,visitor pass issuance,,
cx04367,Inquiry,We hope you are doing well. We would like clarification regarding visitor pass issuance. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,visitor pass issuance,,
cx02307,Complaint,"Hello, During our regular operations, we identified that the water leakage persists within our premises. This appears to be affecting multiple areas within the unit. The impact has been manageable so far. We trust this can be addressed promptly.",water leakage,low,False
cx00598,Complaint,"We hope you are doing well. Recently, our team noticed that the security concern persists within our premises. The condition has not resolved despite initial adjustments. The impact has been manageable so far. We look forward to your support in resolving this.",security concern,low,False
cx03439,Inquiry,We would like clarification regarding storage usage rules. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,storage usage rules,,
cx01054,Complaint,"Good afternoon, Over the past few days, we have observed that the billing discrepancy persists within our premises. This appears to be affecting multiple areas within the unit. We are currently unable to continue normal business activities. We look forward to your support in resolving this.",billing discrepancy,high,False
cx00053,Complaint,"We hope you are doing well. During our regular operations, we identified that the access control malfunction persists within our premises. The issue seems more noticeable during peak hours. Operational efficiency has been noticeably impacted. We look forward to your support in resolving this.",access control malfunction,medium,False
