ticket_type,subject,text,domain,issue_severity,issue_urgency,safety_concern,business_impact
complaint,Conference Room Booking Error,I'm really puzzled about how my team booked today's slot at Conference Hall B; someone said they reserved March 15th but I can't find anything on the system showing us as scheduled! Can anyone assist me here? It's crucial because several meetings depend on its availability.,conference room and meeting space management,medium,medium,False,medium
complaint,Faulty Elevator,Our building's elevator broke down again today; can someone assist us urgently?,commercial property and workspace rental,medium,high,False,medium
complaint,Broken Office Chair,Hey there! My new swivel chair at my desk just broke today after barely using it once.,office fit-out and renovation,medium,high,True,medium
complaint,Broken Fire Extinguisher,Oh joy! Our fire extinguisher decided today would make a perfect day to stop working right before my big presentation at work.,office health and safety compliance,medium,high,True,high
complaint,Power Outage,My computer just died because there’s total power cut at my desk.,office utilities and building services,high,high,False,medium
complaint,Delayed Parcel Delivery,My parcel arrived three days late despite being scheduled as express delivery.,mail and courier services,medium,medium,False,medium
complaint,Wi-Fi connectivity failure,I've encountered persistent Wi-Fi outages at my desk today which have disrupted several important video conferences I needed to attend remotely throughout the day.,shared workspace and coworking,medium,medium,False,medium
complaint,Unfair Property Tax Increase,This year's hike on my commercial property's taxes without proper justification feels completely unjustified! I demand immediate review!,business rates and property tax disputes,medium,high,False,medium
complaint,Lost Hotel Key,"I'm reaching out because I've misplaced my hotel key after checking into room number five on April fifthth. Despite multiple attempts at contacting guest service via phone and email, I haven't received assistance yet. My stay begins tomorrow evening; I'm really hoping there's still time today to resolve this before midnight.",reception and front desk services,medium,medium,False,medium
complaint,Unclean Restroom Facilities,"Dear Janitorial Team, I am reaching out regarding my recent visit to one of your serviced restrooms at XYZ Corporation's headquarters on Elm Street. Upon entering today around noon, both stalls were uncomfortably dirty; there appeared to have been little effort made between cleanings as evidenced by lingering odors emanating strongly within each stall area. This level of cleanliness does not meet even basic hygiene standards expected under normal circumstances nor aligns with what I've come to expect based upon prior experiences during earlier visits throughout March.",office cleaning and janitorial services,medium,medium,False,medium
complaint,Broken Printer,"Oh joy, another day without my printer working again! It's almost as if they enjoy watching me squint at documents on screen more than I do.",IT and office technology support,medium,medium,False,medium
complaint,Unreliable Visitor Badge System,I've encountered multiple instances where my employee badge reader failed during peak hours today at work. This caused significant delays as visitors were unable to access certain areas without proper verification. It's crucial these systems function reliably given today's high-security protocols.,office security and visitor management,medium,medium,False,medium
complaint,Blocked Office Entrance,My car cannot enter through my designated entrance due to recent construction blocking off all entrances.,office parking and access control,medium,medium,False,medium
inquiry,Broken Elevator,"Oh joy, another day without my coffee beans because I can't reach the top floor anymore.",commercial property and workspace rental,,,,
inquiry,Persistent Plumbing Issue,My sink won't stop leaking despite multiple attempts at fixing; can someone assist?,office utilities and building services,,,,
inquiry,Wi-Fi connectivity failure,I'm experiencing persistent Wi-Fi outages at my desk today; I've tried reconnecting multiple times but still can't access the internet.,shared workspace and coworking,,,,
inquiry,Printer connectivity failure,Hey there! I'm having trouble connecting my printer via Wi-Fi at work today; I keep getting disconnected every few minutes when trying to print documents on multiple computers.,IT and office technology support,,,,
inquiry,Improper Fire Extinguisher Placement,I've noticed several fire extinguishers placed too high on shelves within my department's workspace; they aren't easily accessible during emergencies as per OSHA guidelines.,office health and safety compliance,,,,
inquiry,Lost Guestbook,My guestbook at my hotel room disappeared overnight; I urgently require one!,reception and front desk services,,,,
inquiry,Conference Room Booking Error,I've encountered multiple errors when trying to book my scheduled meetings using the new system; could someone assist me?,conference room and meeting space management,,,,
inquiry,Broken Elevator,"I've noticed today when I tried using elevator E5 on floor B12; unfortunately, there seems to have been another malfunction as there's currently just silence instead of movement.",office building management and facilities,,,,
inquiry,Confused about new carpet direction,I'm really puzzled here; I just moved into my newly renovated apartment but noticed something odd - all these carpets seem to have different directions? Is there supposed to be such chaos?,office fit-out and renovation,,,,
inquiry,Visitor Badge System Glitch,"I'm reaching out because there's something troubling me regarding the badge system at my company's entrance. It seems there have been multiple instances where visitors were either denied entry due to expired badges showing as active on screen, despite being outdated physically. This isn't just inconvenient; I'm concerned about potential unauthorized access during these glitches. I would greatly appreciate if someone could look into resolving what appears to be intermittent software errors affecting the reader's accuracy.",office security and visitor management,,,,
inquiry,Late Parcel Delivery,"Dear Sir/Madam, I received my parcel today after exactly one month! Really? That's what they call express delivery these days – snail-paced service at best. I'm sure next time I'll just stick to sending letters instead.",mail and courier services,,,,
inquiry,Unpleasant Odor in Conference Room,"I've noticed a persistent unpleasant odor emanating from my conference room at work; despite regular cleanings, there's still something off about its smell.",office cleaning and janitorial services,,,,
inquiry,Unfair Property Tax Increase,My rent just skyrocketed because they raised my property's value without justification! This isn't fair at all; I've lived here forever!,business rates and property tax disputes,,,,
inquiry,Blocked Parking Access,This ridiculous gate keeps blocking my car every day! I demand immediate action; I've lost valuable time because of these constant inconveniences!,office parking and access control,,,,
