call_id,timestamp,call_category,tenant_tier,asset_type,location,issue_type,issue_severity,business_impact,safety_concern,is_recurring,transcript,clean_text
IP-202512-00001,10/12/2025 4:58,tenant support,Standard,Office,Logistics Cluster North,lost and found item to report,low,medium,False,True,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling again about an ongoing issue that hasn't been resolved.
Tenant: This is unacceptable.
Tenant: We are experiencing lost and found item to report.
Tenant: found something.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Logistics Cluster North, office unit.
Tenant: This was reported last week but nothing has been done.
Agent: I apologize for that. Let me check the previous ticket.
Tenant: We're very disappointed.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We'll keep you updated every step of the way.","hi, i'm calling again about an ongoing issue that hasn't been resolved. this is unacceptable. we are experiencing lost and found item to report. found something. we're located in logistics cluster north, office unit. this was reported last week but nothing has been done. we're very disappointed. i expect this to be resolved quickly."
IP-202512-00003,22/12/2025 8:18,tenant support,Premium,Office,Zone A ��� Corporate O,elevator breakdown in multi-story unit,high,high,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing elevator breakdown in multi-story unit.
Tenant: this is very inconvenient.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Zone A ��� Corporate Offices, office unit.
Tenant: This is seriously impacting our business operations.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: I appreciate the help.
Agent: You're welcome. We'll take care of","hello, i need to report an issue. we are experiencing elevator breakdown in multi-story unit. this is very inconvenient. we're located in zone a ��� corporate offices, office unit. this is seriously impacting our business operations. i appreciate the help."
IP-202601-00005,10/01/2026 4:41,tenant support,Standard,Retail Store,Retail Plaza Central,elevator breakdown in multi-story unit,high,medium,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing elevator breakdown in multi-story unit.
Tenant: we have mobility concerns.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Retail Plaza Central, retail store unit.
Tenant: This is seriously impacting our business operations.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We'll keep you updated every step of the way.","hello, i need to report an issue. we are experiencing elevator breakdown in multi-story unit. we have mobility concerns. we're located in retail plaza central, retail store unit. this is seriously impacting our business operations. i expect this to be resolved quickly."
IP-202511-00007,15/11/2025 3:02,tenant support,VIP,Retail Store,Retail Plaza Central,request for additional waste bins,low,medium,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing request for additional waste bins.
Tenant: would be helpful.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Retail Plaza Central, retail store unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: I appreciate the help.
Agent: You're welcome. We'll take care of this.","hello, i need to report an issue. we are experiencing request for additional waste bins. would be helpful. we're located in retail plaza central, retail store unit. i appreciate the help."
IP-202512-00008,09/12/2025 6:45,tenant support,Standard,Warehouse,Zone B ��� SME O,slow internet connectivity in common areas,medium,medium,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing slow internet connectivity in common areas.
Tenant: we can't have meetings properly.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Zone B ��� SME Offices, warehouse unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: Perfect, that works for us.
Agent: You're welcome. We'll take care of","hello, i need to report an issue. we are experiencing slow internet connectivity in common areas. we can't have meetings properly. we're located in zone b ��� sme offices, warehouse unit. perfect, that works for us."
IP-202511-00009,29/11/2025 3:55,tenant support,Premium,Office,Zone B ��� SME O,slow internet connectivity in common areas,medium,high,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing slow internet connectivity in common areas.
Tenant: the WiFi is very slow.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Zone B ��� SME Offices, office unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: That sounds good.
Agent: You're welcome. We'll take care of","hello, i need to report an issue. we are experiencing slow internet connectivity in common areas. the wifi is very slow. we're located in zone b ��� sme offices, office unit. that sounds good."
IP-202601-00010,13/01/2026 10:35,tenant support,Premium,Retail Store,Retail Plaza Central,minor noise disturbance from nearby unit,low,low,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing minor noise disturbance from nearby unit.
Tenant: when you have time.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Retail Plaza Central, retail store unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: That sounds good.
Agent: You're welcome. We'll take care of this.","hello, i need to report an issue. we are experiencing minor noise disturbance from nearby unit. when you have time. we're located in retail plaza central, retail store unit. that sounds good."
IP-202512-00015,05/12/2025 8:59,tenant support,Standard,Office,Zone A ��� Corporate O,slow internet connectivity in common areas,medium,medium,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing slow internet connectivity in common areas.
Tenant: the WiFi is very slow.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Zone A ��� Corporate Offices, office unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: Perfect, that works for us.
Agent: You're welcome. We'll take care of","hello, i need to report an issue. we are experiencing slow internet connectivity in common areas. the wifi is very slow. we're located in zone a ��� corporate offices, office unit. perfect, that works for us."
IP-202512-00019,08/12/2025 0:43,tenant support,VIP,Retail Store,Community Retail Strip,request for additional waste bins,low,medium,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing request for additional waste bins.
Tenant: when convenient.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Community Retail Strip, retail store unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: I appreciate the help.
Agent: You're welcome. We'll take care of this.","hello, i need to report an issue. we are experiencing request for additional waste bins. when convenient. we're located in community retail strip, retail store unit. i appreciate the help."
IP-202601-00020,17/01/2026 4:48,tenant support,Standard,Office,Tech Block,request for additional waste bins,low,medium,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing request for additional waste bins.
Tenant: when convenient.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Tech Block, office unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: That sounds good.
Agent: You're welcome. We'll take care of this.","hello, i need to report an issue. we are experiencing request for additional waste bins. when convenient. we're located in tech block, office unit. that sounds good."
