ticket_type,subject,text,domain,issue_severity,issue_urgency,safety_concern,business_impact
inquiry,Confused About Office Space Layout,I'm really struggling here; I thought we'd get more desks than chairs after moving into my new workspace downtown? Can someone explain why there's so much empty space around me?,office fit-out and renovation,,,,
complaint,Wi-Fi connectivity problems,I'm really struggling here; my Wi-Fi keeps dropping out every few minutes! I've tried restarting both devices but still can't get stable connection at workstations A5-F12. It's incredibly frustrating as I have deadlines approaching.,shared workspace and coworking,,,,
inquiry,Unrecognized Visitor Detected,We have recently encountered several instances where individuals without proper identification were allowed entry into restricted areas within my company premises last Thursday afternoon. This has raised concerns regarding potential breaches of confidentiality agreements among staff members.,office security and visitor management,,,,
complaint,Blocked Parking Access,My car is stuck outside my building every time I try using the designated spot! This new policy has made me late multiple times already!,office parking and access control,,,,
inquiry,Broken Air Conditioning,This is absolutely unacceptable! Our air conditioning has stopped working since yesterday afternoon despite multiple calls last night. It's sweltering here without AC on such hot summer days—this can't continue indefinitely!,office utilities and building services,,,,
complaint,Unbearable Noise Disturbance,Every night at midnight my sleep is shattered due to loud music coming straight through walls! I've already spoken twice but there's zero change; I'm losing patience here!,office leasing and tenant support,,,,
inquiry,Conference Room Booking Error,I'm trying to book Conference Room B but keep getting redirected; what's going on?,conference room and meeting space management,,,,
complaint,Ignored Maintenance Request,"I've repeatedly contacted my landlord regarding leaky faucets on multiple floors which have gone unaddressed despite being reported last month; furthermore, there's also mold growth due to poor ventilation conditions worsening over time.",office leasing and tenant support,,,,
complaint,Conference Room Booking Error,I've encountered multiple booking errors while trying to reserve Conference Room B on April 5th; please address these technical glitches.,conference room and meeting space management,,,,
complaint,Inadequate Wi-Fi Connectivity,"Dear Support Team, I am currently working at XYZ Co-working Space on floor C and have encountered persistent problems with internet connectivity throughout my workday. Despite multiple attempts using different devices, all show significant lagging speeds which is severely impacting productivity.",shared workspace and coworking,,,,
inquiry,Lost Luggage Concern,"Hello, I recently checked into my room at Hotel Serenity on April 5th after arriving late due to flight delays; however, I've noticed upon arrival today that all three pieces of luggage were missing without notice.",reception and front desk services,,,,
inquiry,Complaints About Office Space,"Oh great, another month without Wi-Fi at my rented office space! I mean come on, who needs internet these days? At least there's always plenty of room for those inspirational motivational posters you've plastered all over.",commercial property and workspace rental,,,,
inquiry,Broken Office Chair,Hey there! Just moved into my new desk space but found out I have a broken chair seat right away.,office fit-out and renovation,,,,
complaint,Conference Room Booking Chaos,Just booked my team into Conference Broom Hall at noon; now there's nowhere but dust!,conference room and meeting space management,,,,
inquiry,Missing Cleaning Day,Hey there! Just noticed today there's still dust on my desk after last week's scheduled clean-up at work. I thought they were supposed to come over yesterday? Can someone look into why they're missing another day's service?,office cleaning and janitorial services,,,,
inquiry,Ceiling Leak Concern,"During my recent visit after hours, I noticed water dripping onto the newly installed carpet below what appears to have become another ceiling leak point; urgent attention is required.",office fit-out and renovation,,,,
inquiry,Confused About Booking System,I'm really struggling here; I tried booking my usual desk space last Monday but got nowhere because I'm lost on how these new online reservations work? Can someone guide me through step-by-step?,shared workspace and coworking,,,,
complaint,Neglected Office Cleaning,"I've reached my breaking point! Our meeting room has turned into a disaster due to neglected cleaning over these last three weeks—papers everywhere, sticky floors, even mold spots on walls now appear because nobody bothered to clean properly!",office cleaning and janitorial services,,,,
inquiry,Dispute over shared driveway access,I'm reaching out because my tenants have repeatedly blocked mine's entrance into the main garage due to disputes on who has priority at different times; can someone assist?,office leasing and tenant support,,,,
inquiry,Blocked Office Parking Access,My car is stuck at my usual spot; please unlock gate ASAP.,office parking and access control,,,,
complaint,Conference Room Booking Error,"I've encountered repeated booking errors on my account while trying to reserve Conference Room B last Thursday evening; despite multiple attempts at rescheduling through different timeslots as per availability shown online, I still couldn't secure a slot due to persistent double-booking notifications.",conference room and meeting space management,,,,
complaint,Broken Elevator,"Oh great, just what I needed today - another broken elevator! Because who doesn't love spending half an hour on stairs? Maybe next time we'll all start living at ground level.",office building management and facilities,,,,
complaint,Inadequate Wi-Fi Signal,I've noticed my internet connection is extremely weak while working here; can someone assist?,shared workspace and coworking,,,,
complaint,Branding Rights Violation,Your company has blatantly ignored my request regarding trademark infringement on signs placed outside my leased space! This unauthorized usage is unacceptable; I demand immediate action!,office leasing and tenant support,,,,
complaint,Printer Paper Jam,Hey there! My printer just won't stop jamming on paper every time I try to print my reports at work today. It's super annoying because I've got deadlines coming up fast. Can someone help me fix this? Thanks!,IT and office technology support,,,,
inquiry,Non-compliant fire extinguisher,Our building's designated fire extinguishers expired last month; please advise on replacement procedures.,office health and safety compliance,,,,
inquiry,Broken Elevator,"Oh great, just what I needed today - another broken elevator on my way up! Can someone finally fix these things?",office building management and facilities,,,,
inquiry,Unsafe Office Equipment,My chair broke today while I worked; can't believe how unsafe these things really are!,office health and safety compliance,,,,
complaint,Misrepresented Office Space,This is absolutely unacceptable! I signed up based on being promised at least 1500 sq ft but what I've got here barely reaches half that size—it's just ridiculous. I'm furious because my business can't operate properly without adequate space as per contract!,office leasing and tenant support,,,,
complaint,Complaints About Office Air Conditioning,"Dear Support Team, I've noticed over the last few weeks that my air conditioning has stopped working intermittently throughout workdays which is quite uncomfortable given today's heatwave conditions. Could someone please look into fixing these recurring AC failures? It's essential as they directly impact productivity due to discomfort among staff members. Thank you very much for addressing this urgent matter promptly.",office utilities and building services,,,,
complaint,Broken Elevator,This is absolutely unacceptable! I've waited over half an hour on my floor just because there's still NO elevator working since yesterday afternoon. I have meetings scheduled all today due to being stuck here without proper access!,office building management and facilities,,,,
complaint,Complaining About Office Air Quality,"Dear Sir/Madam, I trust you're enjoying these delightful fumes wafting through my cubicle every time someone decides to cook lunch at home—because who needs fresh air anyway? It's as if they've forgotten how much oxygen is essential! Please advise on getting rid of whatever culinary nightmare you've unleashed upon me.",office utilities and building services,,,,
complaint,Blocked Office Entrance,I've noticed my car is consistently blocked at the main entrance every Monday due to maintenance work being done on adjacent units; can someone address how long these obstructions will persist?,office parking and access control,,,,
inquiry,Ceiling Leak Concern,"During recent renovations at my home office space within Suite A102, I have noticed persistent water seepage originating from what appears to be ceiling damage.",office fit-out and renovation,,,,
complaint,Parking Lot Chaos,"Oh great, another glorious Monday where my car is parked on top of someone's belongings because apparently, someone forgot how cars fit into spaces.",office parking and access control,,,,
complaint,Unrecognized Visitor Detected,My name is John Smith; I noticed someone unfamiliar entering my building today without proper identification.,office security and visitor management,,,,
complaint,Complaints About Office Air Quality,"I've noticed quite unpleasant odors emanating throughout my workspace over the last few weeks; they seem persistent despite regular ventilation cycles. Additionally, there's also noticeable dust accumulation on surfaces which I suspect might contribute further to poor air quality conditions.",office building management and facilities,,,,
complaint,Disputed Property Tax Assessment,"Dear Sir/Madam, I am reaching out regarding my recent property assessment which has resulted in what appears to me as significantly higher than expected taxes due on my commercial premises located at [Address]. Upon reviewing historical assessments alongside current market values within similar properties in the vicinity, there seems to have been either oversight or miscalculation leading to these inflated figures. As such, kindly advise how best to proceed so that accurate reassessment can take place.",business rates and property tax disputes,,,,
complaint,Late Parcel Delivery,My parcel arrived three business days late despite being scheduled as express delivery.,mail and courier services,,,,
inquiry,Broken Elevator,This broken elevator is unacceptable! I've reported before but still can't access my floor!,office building management and facilities,,,,
complaint,Broken Office Chair,Hey there! I just got back into my new workspace after moving everything over again because someone left behind these broken chairs at each desk—it's quite awkward having half-empty seats.,office fit-out and renovation,,,,
inquiry,Broken Elevator,Our office on floor seven has broken elevator; unable to access upper floors.,commercial property and workspace rental,,,,
complaint,Broken Elevator,"Oh great, just what I needed today - another broken elevator! It's as if they enjoy watching me struggle up those stairs every time I'm late again because apparently elevators aren't meant to work on purpose.",commercial property and workspace rental,,,,
complaint,Blocked Office Parking,My car is stuck outside my building every weekday! This new gate policy has turned what used to be easy into hours wasted just trying to get inside!,office parking and access control,,,,
complaint,Broken Elevator,My entire team is stuck on floor five because the elevator broke down again! This has happened three times now since last month; I demand immediate repair!,office building management and facilities,,,,
complaint,Broken Printer Connectivity,My printer won't connect since yesterday! This is unacceptable; I have urgent documents waiting!,IT and office technology support,,,,
complaint,Broken Elevator,My office floor's elevator stopped working again; I'm stuck on my fifth-floor meeting today!,commercial property and workspace rental,,,,
complaint,Broken Elevator,This broken elevator is unacceptable! I've reported multiple times but still can't access my floor on time every workday!,office building management and facilities,,,,
complaint,Broken Elevator,I'm really concerned because my building's elevator has stopped working since last Monday! It's making getting around so difficult especially on higher floors where I work most often.,office leasing and tenant support,,,,
inquiry,Broken Elevator,Hey there! Our elevator has stopped working since yesterday afternoon at around noon on my floor. It's really inconvenient as I have meetings scheduled upstairs.,office building management and facilities,,,,
inquiry,Late Parcel Delivery,I'm quite upset as my parcel arrived three business days late despite being promised delivery within two working hours.,mail and courier services,,,,
complaint,Unfair Property Tax Increase,This is absolutely ridiculous! My property's assessed value has skyrocketed without my consent leading to an unjustified hike in taxes every year now. I demand immediate review; I'm being overcharged based on outdated information!,business rates and property tax disputes,,,,
complaint,Unrecognized Visitor Detected,My name is John Smith; I noticed someone unfamiliar entering my building today.,office security and visitor management,,,,
