call_id,timestamp,call_category,tenant_tier,asset_type,location,issue_type,issue_severity,issue_urgency,business_impact,safety_concern,is_recurring,transcript
IP-202512-00001,2025-12-13 07:36:48,Tenant Support,VIP,Retail Store,Logistics Cluster North,delivery bay door closing mechanism faulty,medium,critical,high,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing delivery bay door closing mechanism faulty.
Tenant: This has been going on since the beginning of the month.
Tenant: We are currently unable to continue normal business activities.
Tenant: We are considering escalating this formally given the lack of response.
Agent: I am very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We are located in Logistics Cluster North, retail store unit.
Tenant: Fortunately, no one has been put in danger by this issue so far.
Tenant: We are losing money every day this goes unresolved.
Agent: This has been noted and assigned to our facilities team.
Agent: We aim to resolve medium-priority items within 48 hours.
Tenant: I really hope I do not have to call again about this.
Agent: I understand your frustration. We will make it a priority."
IP-202602-00002,2026-02-06 07:12:48,Tenant Support,VIP,Office,Tech Block,insufficient electrical outlets for office equipment,medium,high,low,False,False,"Agent: Support Desk, how may I assist you today?
Tenant: Hi, I need to report a problem with our unit.
Agent: Of course. Could you describe the issue?
Tenant: We are dealing with insufficient electrical outlets for office equipment.
Agent: I see. How long has this been going on?
Tenant: It has been happening for almost a week.
Agent: And can you tell me which unit you are in?
Tenant: We are in Tech Block, the office.
Agent: Is this affecting your ability to operate?
Tenant: It has not significantly affected our day-to-day work.
Tenant: I am very upset about this situation.
Tenant: This was raised previously with your team.
Tenant: Fortunately, no one has been put in danger by this issue so far.
Agent: This has been noted and assigned to our facilities team.
Agent: We aim to resolve medium-priority items within 48 hours.
Tenant: I really hope I do not have to call again about this.
Agent: I understand your frustration. We will make it a priority."
IP-202512-00003,2025-12-11 03:55:48,Leasing Inquiry,Prospective,Warehouse,Community Retail Strip,comparison_shopping,N/A,N/A,N/A,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I am calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Community Retail Strip.
Agent: May I know your size requirement?
Caller: Approximately 6000 square feet.
Caller: Do you offer flexible lease terms for startups?
Agent: Yes, we have flexible options including short-term leases for growing businesses.
Caller: What is the tenant satisfaction rate here?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: What makes this location stand out?
Agent: We offer competitive rates with excellent facilities and a prime location.
Caller: That sounds good. Please send the details.
Agent: I will email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you."
IP-202512-00004,2025-12-21 08:38:48,Tenant Support,Standard,Warehouse,Retail Plaza Central,fire extinguisher inspection overdue,medium,medium,medium,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing fire extinguisher inspection overdue.
Tenant: This has been going on since the beginning of this week.
Tenant: This is creating friction in our operations and affecting productivity.
Agent: I am very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We are located in Retail Plaza Central, warehouse unit.
Tenant: At this time there does not appear to be any immediate safety risk.
Tenant: It is slowing us down more than we would like.
Agent: I have logged your ticket and our team will address this.
Agent: We will update you within 24 hours.
Tenant: That sounds good, thank you.
Agent: Happy to help. We will be in touch."
IP-202512-00005,2025-12-29 01:08:48,Tenant Support,Premium,Office,Zone B – SME Offices,shared meeting room AV system not working,medium,high,medium,False,False,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I am calling from our office in Zone B – SME Offices.
Tenant: We have been dealing with something and I need your help.
Tenant: For the past two weeks, we started noticing shared meeting room AV system not working.
Tenant: This has started to affect our daily workflow and coordination.
Tenant: This was raised previously with your team.
Agent: Thank you for explaining. I am logging this now.
Tenant: Fortunately, no one has been put in danger by this issue so far.
Tenant: Our team has had to adjust how we operate because of this.
Agent: This has been noted and assigned to our facilities team.
Agent: We aim to resolve medium-priority items within 48 hours.
Tenant: Great, thank you for taking care of this.
Agent: Happy to help. We will be in touch."
IP-202602-00006,2026-02-16 03:50:48,Leasing Inquiry,Prospective,Warehouse,Logistics Cluster South,urgent_expansion,N/A,N/A,N/A,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I need to find space urgently.
Caller: Our current location is no longer suitable.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Logistics Cluster South.
Agent: May I know your size requirement?
Caller: Approximately 15000 square feet.
Caller: Can we move in within two weeks?
Agent: We have immediate availability in several units.
Caller: Can we schedule a viewing today?
Agent: I can include all those details in the proposal.
Caller: Can we schedule a viewing today?
Agent: Absolutely. I can arrange a viewing this afternoon.
Caller: Perfect, please send me the details."
IP-202602-00007,2026-02-12 06:42:48,Tenant Support,VIP,Warehouse,Zone B – SME Offices,delivery bay door closing mechanism faulty,medium,high,low,True,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report something that has been bothering us.
Tenant: We are experiencing delivery bay door closing mechanism faulty.
Tenant: This has been going on since last week.
Tenant: The impact has been manageable and contained so far.
Tenant: Despite a previous report, the problem persists.
Agent: I am very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We are located in Zone B – SME Offices, warehouse unit.
Tenant: We are concerned this could result in injury to our staff or visitors.
Agent: I have created a maintenance request for this.
Agent: You should hear back from us by tomorrow.
Tenant: Great, thank you for taking care of this.
Agent: You are welcome. We will take care of this."
IP-202512-00008,2025-12-24 03:58:48,Tenant Support,VIP,Warehouse,Logistics Cluster South,persistent water leakage damaging office equipment,high,critical,high,True,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing persistent water leakage damaging office equipment.
Tenant: This has been going on for several weeks.
Tenant: As a result, our operations have come to a complete halt.
Tenant: We are considering escalating this formally given the lack of response.
Agent: I am very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We are located in Logistics Cluster South, warehouse unit.
Tenant: This is a safety concern and we have flagged it to our own safety officer.
Tenant: This is affecting our ability to serve our clients.
Agent: I am marking this as high priority and escalating to the maintenance manager.
Agent: We will have someone on-site within the hour.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We will keep you updated every step of the way."
IP-202602-00009,2026-02-04 09:37:48,Tenant Support,VIP,Office,Logistics Cluster North,gym equipment in the shared fitness room needs servicing,low,high,low,False,False,"Agent: Support Desk, good morning.
Tenant: Yes, we have had gym equipment in the shared fitness room needs servicing for the past two weeks.
Tenant: The impact has been manageable and contained so far.
Tenant: This was raised previously with your team.
Agent: I understand. Can I confirm your location?
Tenant: Logistics Cluster North, office.
Tenant: Fortunately, no one has been put in danger by this issue so far.
Agent: Noted. I will pass this along to the appropriate team.
Agent: They will take care of it when they are next in the area.
Tenant: I really hope I do not have to call again about this.
Agent: I understand your frustration. We will make it a priority."
IP-202512-00010,2025-12-11 09:08:48,Leasing Inquiry,Prospective,Warehouse,Community Retail Strip,relocation_inquiry,N/A,N/A,N/A,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I am calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Community Retail Strip.
Agent: May I know your size requirement?
Caller: Approximately 6000 square feet.
Caller: Is there help with the setup process for new tenants?
Agent: I can include all those details in the proposal.
Caller: Do you assist with trade license requirements?
Agent: We work closely with the free zone authority and can assist with licensing.
Caller: Are there loading bays available during weekends?
Agent: We have dedicated loading bays and can arrange after-hours access for moves.
Caller: What are the logistics for moving large equipment in?
Agent: We have dedicated loading bays and can arrange after-hours access for moves.
Caller: That sounds good. Please send the details.
Agent: I will email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you."
