ticket_type,subject,text,domain,issue_severity,issue_urgency,business_impact,safety_concern,source
complaint,Non-functional Elevator,The elevator at our leased building is out of service for weeks now without any proposed timeline or alternative arrangements from management.,office leasing and tenant support,medium,high,high,False,phi4_safety_synth
complaint,Leaky Roof Damaging Office Equipment,The recent heavy rain has caused water to leak through our roof onto workstations below. This is disrupting daily activities and causing delays for several teams.,commercial property and workspace rental,medium,high,high,False,phi4_safety_synth
complaint,Parking Lot Access Issue,The gate at our main entrance has been malfunctioning for days now during work hours! It's causing delays to employees' daily commutes without any notice or warning signs posted.,office parking and access control,high,high,high,False,phi4_safety_synth
complaint,IT Support Issue - Immediate Attention Required,Our IT team failed to resolve critical server issues that are disrupting our daily operations schedule for weeks now! We need immediate rectification of these problems before we lose more productivity.,it and office technology support,high,high,high,False,phi4_safety_synth
complaint,Water Leak Underfoot - Urgent Attention Required!,I have been experiencing persistent dripping sounds under my desk for several hours now! It appears to originate from beneath where people walk on the floor near our main entrance.,Office Building Management and Facilities,high,high,high,True,phi4_safety_synth
complaint,IT Support Delay - Equipment Malfunctioning,Our computers have been malfunctioning for over two days now due to IT's delayed response after our last request. This is severely affecting everyone's productivity.,it and office technology support,high,high,high,False,phi4_safety_synth
complaint,Office Space HVAC Issue,The heating system malfunctioned last night causing significant discomfort for employees this morning who worked from home due to extreme cold.,commercial property and workspace rental,medium,high,medium,False,phi4_safety_synth
complaint,Software Update Issue,The latest software update has caused significant disruptions to our daily workflow by crashing frequently throughout multiple departments' systems.,IT and Office Technology Support,high,high,high,False,phi4_safety_synth
complaint,HVAC Failure,"The air conditioning unit has stopped working for three days straight during this heatwave, making it difficult to concentrate at work.",office leasing and tenant support,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard Concern,"The recent installation of new network equipment has caused intermittent power outages throughout our building floor, posing an immediate fire risk due to overloaded circuits.",IT and Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Inadequate Office Space Allocation,We have repeatedly been allocated insufficient square footage for our offices which hinders productivity due to cramped workspaces.,office building management and facilities,medium,high,medium,False,phi4_safety_synth
complaint,Plumbing Issue - Bathroom Flooded,The bathroom sink is flooding due to faulty plumbing causing significant water damage inside my apartment unit.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Inadequate Wi-Fi Access Point Coverage,The newly installed wi-fi access point has failed to provide adequate coverage across all floors of our shared workspace floor. Employees are unable to connect reliably on certain levels during working hours.,shared workspace and coworking,medium,high,high,False,phi4_safety_synth
complaint,Inadequate Workspace Size for Multiple Clients,The current layout of our shared space is unsuitable to accommodate multiple clients at once due to limited desk areas leading to frequent conflicts over seating.,shared workspace and coworking,medium,medium,medium,False,phi4_safety_synth
complaint,Inadequate Parking Space,We have consistently found parking space to be extremely limited during our weekly meetings which negatively affects productivity for all employees involved.,office building management and facilities,medium,high,high,False,phi4_safety_synth
complaint,Office Space Temperature Control Failure,The HVAC system failed last night causing uncomfortably high temperatures that disrupted our work environment all morning.,commercial property and workspace rental,medium,high,high,False,phi4_safety_synth
complaint,Hazardous Electrical Issue at CoWorking Space XYZ123,There is an exposed wire near our desk that poses immediate fire hazards if tampered with or damaged further. We need this fixed urgently to prevent potential harm.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
