call_id,timestamp,call_category,tenant_tier,asset_type,location,issue_type,issue_severity,business_impact,safety_concern,is_recurring,transcript
IP-202512-00001,10/12/2025 4:58,Tenant Support,Standard,Office,Logistics Cluster North,lost and found item to report,low,low,FALSE,TRUE,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hi, I'm calling again about an ongoing issue that hasn't been resolved.
Tenant: This is unacceptable.
Tenant: We are experiencing lost and found item to report.
Tenant: found something.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Logistics Cluster North, office unit.
Tenant: This was reported last week but nothing has been done.
Agent: I apologize for that. Let me check the previous ticket.
Tenant: We're very disappointed.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We'll keep you updated every step of the way."
IP-202511-00002,14/11/2025 10:35,Leasing Inquiry,Prospective,Office,Community Retail Strip,urgent_expansion,N/A,N/A,FALSE,FALSE,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I need to find space urgently.
Caller: Our current location is no longer suitable.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Community Retail Strip.
Agent: May I know your size requirement?
Caller: Approximately 25000 square feet.
Caller: Can we schedule a viewing today?
Agent: I can include all those details in the proposal.
Caller: What's the fastest we can sign?
Agent: I can include all those details in the proposal.
Caller: We need space urgently for expansion
Agent: I can include all those details in the proposal.
Caller: Can we schedule a viewing today?
Agent: Absolutely. I can arrange a viewing this afternoon.
Caller: Perfect, please send me the details."
IP-202512-00003,22/12/2025 8:18,Tenant Support,Premium,Office,Zone A ��� Corporate O,elevator breakdown in multi-story unit,high,medium-high,FALSE,FALSE,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing elevator breakdown in multi-story unit.
Tenant: this is very inconvenient.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Zone A ��� Corporate Offices, office unit.
Tenant: This is seriously impacting our business operations.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: I appreciate the help.
Agent: You're welcome. We'll take care of"
IP-202511-00004,18/11/2025 4:58,Leasing Inquiry,Prospective,Warehouse,Logistics Cluster South,casual_quick,N/A,N/A,FALSE,FALSE,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hi there, I'm looking for some space to rent.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Logistics Cluster South.
Agent: May I know your size requirement?
Caller: Approximately 25000 square feet.
Caller: Is parking included?
Agent: Parking allocation depends on the unit size, typically 1 space per 1000 sq ft.
Caller: When can we move in?
Agent: We have immediate availability in several units.
Caller: How much is the rent?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: Can you send me the details?
Agent: I can include all those details in the proposal.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you."
IP-202601-00005,10/01/2026 4:41,Tenant Support,Standard,Retail Store,Retail Plaza Central,elevator breakdown in multi-story unit,high,medium-high,FALSE,FALSE,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing elevator breakdown in multi-story unit.
Tenant: we have mobility concerns.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Retail Plaza Central, retail store unit.
Tenant: This is seriously impacting our business operations.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We'll keep you updated every step of the way."
IP-202601-00006,15/01/2026 3:25,Leasing Inquiry,Prospective,Warehouse,Zone A ��� Corporate O,professional_detailed,N/A,N/A,FALSE,FALSE,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I'm calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone A ��� Corporate Offices.
Agent: May I know your size requirement?
Caller: Approximately 15000 square feet.
Caller: Is the unit fitted or shell and core?
Agent: I can include all those details in the proposal.
Caller: What is the rental rate per square foot?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Than"
IP-202511-00007,15/11/2025 3:02,Tenant Support,VIP,Retail Store,Retail Plaza Central,request for additional waste bins,low,low,FALSE,FALSE,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing request for additional waste bins.
Tenant: would be helpful.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Retail Plaza Central, retail store unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: I appreciate the help.
Agent: You're welcome. We'll take care of this."
IP-202512-00008,09/12/2025 6:45,Tenant Support,Standard,Warehouse,Zone B ��� SME O,slow internet connectivity in common areas,medium,medium,FALSE,FALSE,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing slow internet connectivity in common areas.
Tenant: we can't have meetings properly.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Zone B ��� SME Offices, warehouse unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: Perfect, that works for us.
Agent: You're welcome. We'll take care of"
IP-202511-00009,29/11/2025 3:55,Tenant Support,Premium,Office,Zone B ��� SME O,slow internet connectivity in common areas,medium,medium,FALSE,FALSE,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing slow internet connectivity in common areas.
Tenant: the WiFi is very slow.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Zone B ��� SME Offices, office unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: That sounds good.
Agent: You're welcome. We'll take care of"
IP-202601-00010,13/01/2026 10:35,Tenant Support,Premium,Retail Store,Retail Plaza Central,minor noise disturbance from nearby unit,low,low,FALSE,FALSE,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing minor noise disturbance from nearby unit.
Tenant: when you have time.
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Retail Plaza Central, retail store unit.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: That sounds good.
Agent: You're welcome. We'll take care of this."
