call_id,timestamp,call_category,tenant_tier,asset_type,location,issue_type,issue_severity,business_impact,safety_concern,is_recurring,transcript
IP-202512-00002,2025-12-09 07:02:23,tenant support,Premium,Warehouse,Zone B – SME Offices,ceiling collapse in the main corridor,critical,high,True,False,"good morning. i'm calling from our warehouse in zone b – sme offices. so here's what happened. since the beginning of the month, we started noticing ceiling collapse in the main corridor. someone could have been injured i've been calling for days about this. we're losing money every day this goes unresolved. this is a health and safety risk for our staff. please make sure this actually gets done this time."
IP-202512-00003,2025-12-26 07:13:23,tenant support,Standard,Office,Zone A – Corporate Offices,request to replace a burnt-out lightbulb in the stairwell,low,medium,False,False,"good morning. i'm calling from our office in zone a – corporate offices. we've been dealing with something and i need your help. for over a week, we started noticing request to replace a burnt-out lightbulb in the stairwell. it's not completely dark but dimmer than usual thanks for being so responsive."
IP-202511-00004,2025-11-24 08:06:23,tenant support,Standard,Retail Store,Retail Plaza Central,sewage backup flooding the ground floor restrooms,critical,medium,True,False,"hi, i need to report a problem with our unit. we are dealing with sewage backup flooding the ground floor restrooms. it's been happening since yesterday. we're in retail plaza central, the retail store. we cannot use any of the restroom facilities i'm very upset about this situation. this is affecting our ability to serve our clients. we also have safety concerns about this. please make sure this actually gets done this time."
IP-202601-00006,2026-01-07 07:58:23,tenant support,Premium,Warehouse,Zone A – Corporate Offices,heating system failed completely during winter,high,medium,False,True,"good morning. i'm calling from our warehouse in zone a – corporate offices. we've been dealing with something and i need your help. since last monday, we started noticing heating system failed completely during winter. clients are complaining about the temperature if this isn't resolved today, we're contacting our lawyers. and this isn't the first time. we've called about this before. our staff can't work properly because of this. please make sure this actually gets done this time."
IP-202601-00007,2026-01-05 01:15:23,tenant support,VIP,Office,Community Retail Strip,heating system failed completely during winter,high,medium,False,False,"hello, i need to report an issue. we are experiencing heating system failed completely during winter. employees are wearing coats at their desks we're located in community retail strip, office unit. we're losing money every day this goes unresolved. i really hope i don't have to call again about this."
IP-202512-00009,2025-12-28 10:47:23,tenant support,Premium,Warehouse,Zone A – Corporate Offices,request for a bench or seating area near the entrance,low,medium,False,True,"hi, i need to report a problem with our unit. we are dealing with request for a bench or seating area near the entrance. it's been happening for over a week. we're in zone a – corporate offices, the warehouse. a small bench would be really appreciated yes, multiple times actually. we're paying good money and this is what we get. i expect this to be resolved quickly."
IP-202512-00011,2025-12-03 10:06:23,tenant support,Premium,Warehouse,Retail Plaza Central,lighting issues in parking area,medium,high,False,True,"yes, we've had lighting issues in parking area for over a week. we're concerned about safety after hours i reported this before and nothing was done about it. i expected much better from this facility. retail plaza central, warehouse. i expect this to be resolved quickly."
IP-202512-00012,2025-12-11 04:04:23,tenant support,VIP,Office,Zone A – Corporate Offices,squeaky door hinge on the conference room,low,medium,False,False,"yes, we've had squeaky door hinge on the conference room for almost a week. it's a bit distracting during meetings zone a – corporate offices, office. that's reassuring, thank you."
IP-202602-00015,2026-02-09 02:16:23,tenant support,VIP,Retail Store,Logistics Cluster South,thermostat not responding to temperature adjustments,medium,high,False,False,"good morning. i'm calling from our retail store in logistics cluster south. let me explain the situation. since yesterday, we started noticing thermostat not responding to temperature adjustments. the display seems frozen on one temperature thank you for your quick response."
IP-202512-00017,2025-12-18 02:34:23,tenant support,Standard,Warehouse,Logistics Cluster North,slow internet connectivity in common areas,medium,medium,False,False,"good morning. i'm calling from our warehouse in logistics cluster north. i wanted to give you some background first. since yesterday, we started noticing slow internet connectivity in common areas. we can't have video meetings properly wonderful, we'll wait for the update."
IP-202602-00018,2026-02-15 01:18:23,tenant support,Standard,Retail Store,Retail Plaza Central,persistent water leakage damaging office equipment,high,medium,False,False,"hello, i need to report something that's been bothering us. we are experiencing persistent water leakage damaging office equipment. we had to move desks away from the leak we're located in retail plaza central, retail store unit. this is affecting our ability to serve our clients. that sounds good, thank you."
IP-202602-00019,2026-02-16 09:39:23,tenant support,Standard,Warehouse,Zone A – Corporate Offices,bird nesting near the entrance causing minor mess,low,low,False,False,"good morning. i'm calling from our warehouse in zone a – corporate offices. let me explain the situation. for nearly a month now, we started noticing bird nesting near the entrance causing minor mess. can it be cleaned up and maybe the nests relocated we appreciate the fast turnaround."
IP-202512-00020,2025-12-11 01:41:23,tenant support,Premium,Office,Tech Block,door lock on the main office entrance is jammed,medium,high,False,False,"good morning. i'm calling from our office in tech block. we've been dealing with something and i need your help. since yesterday, we started noticing door lock on the main office entrance is jammed. it needs to be replaced before it breaks completely great, thank you for taking care of this."
IP-202512-00021,2025-12-05 04:41:23,tenant support,Premium,Office,Logistics Cluster South,lighting issues in parking area,medium,high,False,False,"hi, i need to report a problem with our unit. we are dealing with lighting issues in parking area. it's been happening for almost a week. we're in logistics cluster south, the office. it's quite dark in the evening thank you for your quick response."
IP-202512-00024,2025-12-10 10:20:23,tenant support,VIP,Warehouse,Zone A – Corporate Offices,recycling bins not being collected on schedule,low,medium,False,False,"good morning. i'm calling from our warehouse in zone a – corporate offices. so here's what happened. for three days now, we started noticing recycling bins not being collected on schedule. just a small housekeeping issue we appreciate the fast turnaround."
IP-202511-00028,2025-11-28 05:57:23,tenant support,Premium,Office,Zone B – SME Offices,internet and phone lines down for the entire office,high,medium,False,True,"yes, we've had internet and phone lines down for the entire office since yesterday. we have no connectivity at all i reported this before and nothing was done about it. this is the third time i'm reporting this. zone b – sme offices, office. our staff can't work properly because of this. i expect this to be resolved quickly."
IP-202512-00032,2025-12-09 01:20:23,tenant support,VIP,Warehouse,Community Retail Strip,suggestion for better directional signage in the building,low,medium,False,False,"hi, i need to report a problem with our unit. we are dealing with suggestion for better directional signage in the building. it's been happening for over a week. we're in community retail strip, the warehouse. we've had a few clients arrive late because they got confused we appreciate the fast turnaround."
IP-202601-00034,2026-01-29 08:43:23,tenant support,Standard,Office,Logistics Cluster North,main entrance security breach,critical,medium,True,False,"yes, we've had main entrance security breach for nearly a month now. our security is compromised logistics cluster north, office. we're losing money every day this goes unresolved. this is a health and safety risk for our staff. i really hope i don't have to call again about this."
