ticket_id,ticket_type,ticket_details,issue_category,business_impact,safety_concern
cx04999,Inquiry,"Good afternoon, We would like elucidation regarding service agreement details. advise us on the appropriate steps forward.",service agreement details,,
cx02914,Complaint,"We this can be address promptly. Good afternoon, Recently, our team noticed that the bringing delay inside our premises. It is not a single This started to impact our daily workflow and coordination.",delivery delay,medium,False
cx02103,Complaint,"During our regular operations, we identified that the elevator outage persists within our premises. Operational efficiency has been noticeably impacted. Kindly review and advise on the next steps.",elevator outage,medium,False
cx01044,Complaint,"We hope you are doing well. Over the past few days, we have observed that the delivery delay persists within our premises. The impact has been manageable so far. We look forward to your support in resolving this.",delivery delay,low,False
cx00430,Complaint,"condition has not resolved despite initial adjustments. This has started to affect our day-to-day workflow and coordination. Over the past few days, we have that the internet break persists within our premises. We hope you are doing well. We would appreciate your assistance in resolving this matter.",internet disruption,medium,False
cx02458,Complaint,"We hope you are doing well. Over the past few days, we have observed that the power instability persists within our premises. This appears to be affecting multiple areas within the unit. There have been delays in routine activities. Kindly review and advise on the next steps.",power instability,medium,False
cx00844,Complaint,"Over the past few days, we have observed that the delivery delay persists within our premises. This appears to be affecting multiple areas within the unit. We are currently unable to continue normal business activities. Kindly review and advise on the next steps.",delivery delay,high,True
cx03771,Inquiry,We are writing to bring this to your attention. We would like clarification regarding compliance procedures. This is important for our planning. Kindly advise us on the allow steps moving forward.,compliance procedures,,
cx01728,Complaint,"We hope you are doing well. Over the past few days, we have observed that the parking allocation issue persists within our premises. The issue seems more noticeable during peak hours. The impact has been manageable so far. We trust this can be addressed promptly.",parking allocation issue,low,False
cx03045,Inquiry,"Kindly us on allow steps moving forward. This info is significant our internal Hello, usefulness",utility activation process,,
cx03439,Inquiry,charitable us the appropriate steps travel forward. We would like clarification see storage use rules. This info is our intragroup readying.,storage usage rules,,
cx01169,Complaint,"We are writing to bring this to your attention. During our regular operations, we identified that the server room overheating persists within our premises. This appears to be affecting multiple areas within the unit. This has started to affect our daily workflow and coordination. We look forward to your support in resolving this.",server room overheating,medium,False
cx00893,Complaint,"We are writing to bring this to your attention. During our regular operations, we identified that the plumbing blockage persists within our premises. The issue seems more noticeable during peak hours. The disruption remains limited at this stage. We trust this can be addressed promptly.",plumbing blockage,low,False
cx01842,Complaint,"Good afternoon, During our regular operations, we identified that the access control malfunction persists within our premises. The issue seems more noticeable during peak hours. This has severely disrupted our operational continuity. We look forward to your support in resolving this.",access control malfunction,high,False
cx02582,Complaint,"We hope you are doing well. During our regular operations, we identified that the staff conduct issue persists within our premises. The issue seems more noticeable during peak hours. While this has caused minor inconvenience, operations are still ongoing. We look forward to your support in resolving this.",staff conduct issue,low,False
cx02058,Complaint,"Kindly reappraisal and advise on the next stairs. late, our team noticed that the faculty behavior issue prevail within our premises. There have been delays in routine activities. The status not resolved despite initial adjustment.",staff conduct issue,medium,False
cx04900,Inquiry,"Kindly advise us on the appropriate stairs moving forward. information is significant for our intragroup planning. Good afternoon, We would like see unit enlargement",unit expansion options,,
cx03039,Inquiry,"Good afternoon, We would like clarification regarding lease renewal terms. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",lease renewal terms,,
