call_id,timestamp,call_category,tenant_tier,asset_type,location,issue_type,issue_severity,business_impact,safety_concern,is_recurring,transcript,proxy_sentiment,proxy_urgency,proxy_keywords_str
IP-202601-00001,2026-01-14 21:43:24,Leasing Inquiry,Prospective,Office,Zone B – SME Offices,comparison_shopping,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I'm calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone B – SME Offices.
Agent: May I know your size requirement?
Caller: Approximately 2500 square feet.
Caller: What's the tenant satisfaction rate here?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: Are there shared facilities like meeting rooms?
Agent: I can include all those details in the proposal.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,1
IP-202512-00002,2025-12-09 23:08:24,Tenant Support,Premium,Warehouse,Zone B – SME Offices,ceiling collapse in the main corridor,critical,high,True,False,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I'm calling from our warehouse in Zone B – SME Offices.
Tenant: So here's what happened.
Tenant: Since the beginning of the month, we started noticing ceiling collapse in the main corridor.
Tenant: someone could have been injured
Tenant: I've been calling for days about this.
Agent: Thank you for explaining. I'm logging this now.
Tenant: We're losing money every day this goes unresolved.
Tenant: This is a health and safety risk for our staff.
Agent: Absolutely. I'm escalating this to our safety team immediately.
Agent: I'm escalating this to our emergency response team immediately.
Agent: You should receive a call within 15 minutes.
Tenant: Please make sure this actually gets done this time.
Agent: You have my word. I'll follow up personally.",0.6,1.0,"1,33,48"
IP-202512-00003,2025-12-26 23:19:24,Tenant Support,Standard,Office,Zone A – Corporate Offices,request to replace a burnt-out lightbulb in the stairwell,low,low,False,False,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I'm calling from our office in Zone A – Corporate Offices.
Tenant: We've been dealing with something and I need your help.
Tenant: For over a week, we started noticing request to replace a burnt-out lightbulb in the stairwell.
Tenant: it's not completely dark but dimmer than usual
Agent: Thank you for explaining. I'm logging this now.
Agent: Thank you for letting us know. I've added this to our task list.
Agent: It should be addressed within the next few business days.
Tenant: Thanks for being so responsive.
Agent: Happy to help. We'll be in touch.",0.8999999999999999,0.8500000000000001,1
IP-202511-00004,2025-11-25 00:12:24,Tenant Support,Standard,Retail Store,Retail Plaza Central,sewage backup flooding the ground floor restrooms,critical,high,True,False,"Agent: Support Desk, how may I assist you today?
Tenant: Hi, I need to report a problem with our unit.
Agent: Of course. Could you describe the issue?
Tenant: We are dealing with sewage backup flooding the ground floor restrooms.
Agent: I see. How long has this been going on?
Tenant: It's been happening since yesterday.
Agent: And can you tell me which unit you're in?
Tenant: We're in Retail Plaza Central, the retail store.
Agent: Is this affecting your ability to operate?
Tenant: we cannot use any of the restroom facilities
Tenant: I'm very upset about this situation.
Tenant: This is affecting our ability to serve our clients.
Tenant: We also have safety concerns about this.
Agent: I understand. Safety is our top priority.
Agent: I'm escalating this to our emergency response team immediately.
Agent: You should receive a call within 15 minutes.
Tenant: Please make sure this actually gets done this time.
Agent: You have my word. I'll follow up personally.",-0.55,1.0,"1,10,33,48"
IP-202602-00005,2026-02-01 00:44:24,Leasing Inquiry,Prospective,Retail Store,Zone A – Corporate Offices,casual_quick,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hi there, I'm looking for some space to rent.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a retail store.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone A – Corporate Offices.
Agent: May I know your size requirement?
Caller: Approximately 10000 square feet.
Caller: Can you send me the details?
Agent: I can include all those details in the proposal.
Caller: Do you have anything smaller available?
Agent: I can include all those details in the proposal.
Caller: How much is the rent?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,1
IP-202601-00006,2026-01-08 00:04:24,Tenant Support,Premium,Warehouse,Zone A – Corporate Offices,heating system failed completely during winter,high,medium-high,False,True,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I'm calling from our warehouse in Zone A – Corporate Offices.
Tenant: We've been dealing with something and I need your help.
Tenant: Since last monday, we started noticing heating system failed completely during winter.
Tenant: clients are complaining about the temperature
Tenant: If this isn't resolved today, we're contacting our lawyers.
Tenant: And this isn't the first time. We've called about this before.
Agent: Thank you for explaining. I'm logging this now.
Tenant: Our staff can't work properly because of this.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: Please make sure this actually gets done this time.
Agent: You have my word. I'll follow up personally.",0.39999999999999997,1.0,"1,2,3,35"
IP-202601-00007,2026-01-05 17:21:24,Tenant Support,VIP,Office,Community Retail Strip,heating system failed completely during winter,high,medium-high,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report an issue.
Tenant: We are experiencing heating system failed completely during winter.
Tenant: employees are wearing coats at their desks
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Community Retail Strip, office unit.
Tenant: We're losing money every day this goes unresolved.
Agent: I've escalated this to our senior maintenance team.
Agent: Expect a callback within 2 hours with an update.
Tenant: I really hope I don't have to call again about this.
Agent: I understand your frustration. We'll make it a priority.",-0.4,0.5,"1,2,35"
IP-202512-00008,2025-12-03 22:36:24,Leasing Inquiry,Prospective,Warehouse,Zone A – Corporate Offices,urgent_expansion,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I need to find space urgently.
Caller: Our current location is no longer suitable.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone A – Corporate Offices.
Agent: May I know your size requirement?
Caller: Approximately 25000 square feet.
Caller: Can we schedule a viewing today?
Agent: I can include all those details in the proposal.
Caller: What's the fastest we can sign?
Agent: We have immediate availability in several units.
Caller: We need space urgently for expansion
Agent: I can include all those details in the proposal.
Caller: Can we schedule a viewing today?
Agent: Absolutely. I can arrange a viewing this afternoon.
Caller: Perfect, please send me the details.",0.3,1.0,"1,49"
IP-202512-00009,2025-12-29 02:53:24,Tenant Support,Premium,Warehouse,Zone A – Corporate Offices,request for a bench or seating area near the entrance,low,low,False,True,"Agent: Support Desk, how may I assist you today?
Tenant: Hi, I need to report a problem with our unit.
Agent: Of course. Could you describe the issue?
Tenant: We are dealing with request for a bench or seating area near the entrance.
Agent: I see. How long has this been going on?
Tenant: It's been happening for over a week.
Agent: And can you tell me which unit you're in?
Tenant: We're in Zone A – Corporate Offices, the warehouse.
Agent: Is this affecting your ability to operate?
Tenant: a small bench would be really appreciated
Agent: Have you reported this before?
Tenant: Yes, multiple times actually.
Tenant: We're paying good money and this is what we get.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We'll keep you updated every step of the way.",0.4999999999999999,1.0,"1,35"
IP-202601-00010,2026-01-10 22:21:24,Leasing Inquiry,Prospective,Office,Logistics Cluster South,casual_quick,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hi there, I'm looking for some space to rent.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Logistics Cluster South.
Agent: May I know your size requirement?
Caller: Approximately 2500 square feet.
Caller: Do you have anything smaller available?
Agent: I can include all those details in the proposal.
Caller: What's included in the rent?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,1
